,Unnamed: 0,image_A_url,image_B_url,image_C_url,target,utterance,utterance_post
0,0,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/19388898dd69dd9fddc8e6d1ec6242c3/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/58e0f2ca80931a77e99f6f079f038d/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1ef03aab18277ff1ef3a2c64cef919d0/image_p020_t337_r005.png,"[0, 0, 1]",Choose the item that has two lampshades.,choose the item that has two lampshades
1,1,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/9627da26edc003e7d49b2e04785f8492/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e5e9ff118631c2a3ee088de33038f12a/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/26e6dc505f376ceee6597d391ab6fcc1/image_p020_t337_r005.png,"[0, 0, 1]",Ceiling lamp with the least amount of ball-shaped accents.,ceiling lamp with the least amount of ballshaped accents
2,2,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/435600f37bac6ed9a28fe47978e866bb/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/c603039e59ac33a0ce1bab91cb13240/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2156df35753fc26c6e285dd101afcb51/image_p020_t337_r005.png,"[0, 0, 1]",the top is hexagonal,the top is hexagonal
3,3,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/427806f30c61059c22e05b5d2ce39e3b/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/a3ff2bc2ac65bf093aa7852a81a014bb/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3101d2b22e21297ccff8db9efabb6c62/image_p020_t337_r005.png,"[0, 0, 1]",looks like a megaphone,looks like a megaphone
4,4,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e515076a09191d075fa6da97b9eb4a2f/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e569a4ed12ba90c220331d4c3b7d944e/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2f2d4805ac5eb033e49675db0062ac74/image_p020_t337_r005.png,"[0, 0, 1]",This is a rectangle on top.,this is a rectangle on top
5,5,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2577723d02fd914eda113afcb6c5e140/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/7ea1864f38bc326696a3517f50eeb9f4/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/b9283738780e29c23a5fb687d9cb4ec7/image_p020_t337_r005.png,"[0, 0, 1]",round base,round base
6,6,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/28186fa2690df5daefe905a3f9856df5/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/99ab3dce10653cb7f4525a0066419a00/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3e9ce9f30f1999ab45bb7680f88b3d99/image_p020_t337_r005.png,"[0, 0, 1]",A lamp with a bendy post,a lamp with a bendy post
7,7,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/41e0a38cafd737a87088591b1a3e2750/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/a1a81e5d0450d463df9c597227d75069/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e2343ffc39e5f4bf85a18a4e86f89dc9/image_p020_t337_r005.png,"[0, 0, 1]","This is a standing light, with two lights across the top.",this is a standing light with two lights across the top
8,8,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2e18c1bd23e4d89dbb6d3a4b6666d91/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/f7b3550d5e59934595bea7c29e873d16/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ca6c2a23c86be64e2b93fb2743876c57/image_p020_t337_r005.png,"[0, 0, 1]",The lamp with the extended box off the bottom plate.,the lamp with the extended box off the bottom plate
9,9,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/a6ae06e879fcaa019e26fe04e3dd51db/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/dd22b87797f960f47b0f9bd97c2f1a90/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1a44dd6ee873d443da13974b3533fb59/image_p020_t337_r005.png,"[0, 0, 1]",Desk lamp with a cone-shaped shade.,desk lamp with a coneshaped shade
10,10,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1edec15a9740c25edf85db41e3677c28/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/639c2bfefe1bb6af1cce8c25b11ccdd9/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1b957f2c258ed744b3c42e318f3affc/image_p020_t337_r005.png,"[0, 0, 1]","This lamp's base is three concentric circle slabs, and the neck comes in three pieces connected by two joints.",this lamps base is three concentric circle slabs and the neck comes in three pieces connected by two joints
11,11,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/27b2a1bb96fbd760316fa82a71600dfa/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/5e2d2a5b9a69125b23c3accd4496ea68/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2161683c44a7dc356bd865f153842b49/image_p020_t337_r005.png,"[0, 0, 1]",the base is square,the base is square
12,12,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1e62d260a8a64b5d8f720345751070e9/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/7260ad08488a3156f78e32cea3be35af/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/48cde19fa1d6af1653b336293441aa49/image_p020_t337_r005.png,"[0, 0, 1]",It is the thinnest of all the images with the base being the thickest and getting smaller as it goes up.,it is the thinnest of all the images with the base being the thickest and getting smaller as it goes up
13,13,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/738646252a89e865bc5cf22809274024/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/7a8615c643bc3d96ed6eef8e856a36ea/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/199273d17414e77ca553fc23769e6051/image_p020_t337_r005.png,"[0, 0, 1]",An outdoor light with a closed square top with what looks like a hat on top,an outdoor light with a closed square top with what looks like a hat on top
14,14,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3e21ab6c6d82ec4e1509d7278de350d1/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/f69d3903096b6bb78ca4aeb5e3b33af7/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/6e913f0b67bb638288c10250d0e7fba1/image_p020_t337_r005.png,"[0, 0, 1]",lamp that looks like pacman at the top and bottom,lamp that looks like pacman at the top and bottom
